Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
gpt_4,conversation,"great, place, korean",Emojis,embarrassed,,,,,,,😥,,
gpt_4,conversation,"great, place, korean",Emojis,guilty,,,,,,,😬,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,grateful,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,joyful,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,content,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,surprised,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,excited,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,impressed,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,proud,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,anxious,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,afraid,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,terrified,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,annoyed,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,angry,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,furious,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,sad,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,devastated,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,ashamed,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,embarrassed,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emotion,guilty,,,,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,grateful,2,0,-2,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,joyful,4,1,1,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,content,4,0,2,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,surprised,1,2,-2,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,excited,2,4,1,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,impressed,1,1,-4,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,proud,4,1,2,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,anxious,-1,2,-2,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,afraid,-5,2,-4,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,terrified,-5,4,-4,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,annoyed,-2,0,-1,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,angry,-5,2,0,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,furious,-4,4,1,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,sad,-4,-2,-4,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,devastated,-5,1,-2,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,ashamed,-3,-1,-4,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,embarrassed,-4,2,-2,,,,,,
gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,guilty,-4,0,-4,,,,,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,grateful,,,,,,,😊,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,joyful,,,,,,,😁,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,content,,,,,,,😌,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,surprised,,,,,,,😯,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,excited,,,,,,,😃,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,impressed,,,,,,,🙂,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,proud,,,,,,,🤩,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,anxious,,,,,,,😃,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,afraid,,,,,,,😨,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,terrified,,,,,,,😱,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,annoyed,,,,,,,😒,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,angry,,,,,,,😡,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,furious,,,,,,,🤬,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,sad,,,,,,,🙁,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,devastated,,,,,,,😭,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,ashamed,,,,,,,😳,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,embarrassed,,,,,,,😥,,
gpt_4,conversation,"friends, movie, yesterday",Emojis,guilty,,,,,,,😬,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,grateful,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,joyful,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,content,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,surprised,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,excited,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,impressed,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,proud,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,anxious,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,afraid,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,terrified,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,annoyed,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,angry,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,furious,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,sad,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,devastated,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,ashamed,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,embarrassed,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emotion,guilty,,,,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,grateful,2,0,-2,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,joyful,4,1,1,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,content,4,0,2,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,surprised,1,2,-2,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,excited,2,4,1,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,impressed,1,1,-4,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,proud,4,1,2,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,anxious,-1,2,-2,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,afraid,-5,2,-4,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,terrified,-5,4,-4,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,annoyed,-2,0,-1,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,angry,-5,2,0,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,furious,-4,4,1,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,sad,-4,-2,-4,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,devastated,-5,1,-2,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,ashamed,-3,-1,-4,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,embarrassed,-4,2,-2,,,,,,
gpt_4,conversation,"Italy, therapist, partner",VAD_Numeric,guilty,-4,0,-4,,,,,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,grateful,,,,,,,😊,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,joyful,,,,,,,😁,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,content,,,,,,,😌,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,surprised,,,,,,,😯,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,excited,,,,,,,😃,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,impressed,,,,,,,🙂,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,proud,,,,,,,🤩,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,anxious,,,,,,,😃,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,afraid,,,,,,,😨,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,terrified,,,,,,,😱,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,annoyed,,,,,,,😒,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,angry,,,,,,,😡,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,furious,,,,,,,🤬,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,sad,,,,,,,🙁,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,devastated,,,,,,,😭,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,ashamed,,,,,,,😳,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,embarrassed,,,,,,,😥,,
gpt_4,conversation,"Italy, therapist, partner",Emojis,guilty,,,,,,,😬,,
gpt_4,conversation,"finals, semester, math",Emotion,grateful,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,joyful,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,content,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,surprised,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,excited,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,impressed,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,proud,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,anxious,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,afraid,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,terrified,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,annoyed,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,angry,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,furious,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,sad,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,devastated,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,ashamed,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,embarrassed,,,,,,,,,
gpt_4,conversation,"finals, semester, math",Emotion,guilty,,,,,,,,,
gpt_4,conversation,"finals, semester, math",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
