git ,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
10,10,10,10,gpt_4,conversation,"morning, cat, wake",Emotion,annoyed,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word annoyed in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: annoyed
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I woke up to my cat meowing loudly this moring
11,11,11,11,gpt_4,conversation,"morning, cat, wake",Emotion,angry,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word angry in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: angry
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I won a trip to a school for a competition
12,12,12,12,gpt_4,conversation,"morning, cat, wake",Emotion,furious,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word furious in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: furious
Keywords: 'morning', 'cat', 'wake'
Dialogue:",You wake me up every moring with your annoying cat
13,13,13,13,gpt_4,conversation,"morning, cat, wake",Emotion,sad,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word sad in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: sad
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I woke up this moring to find that my cat had passed away
14,14,14,14,gpt_4,conversation,"morning, cat, wake",Emotion,devastated,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word devastated in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: devastated
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I woke up this morining to find that my cat had passed away
15,15,15,15,gpt_4,conversation,"morning, cat, wake",Emotion,ashamed,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word ashamed in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: ashamed
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I woke up my cat this morning and now it wont stop meowing
16,16,16,16,gpt_4,conversation,"morning, cat, wake",Emotion,embarrassed,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word embarrassed in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: embarrassed
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I was right in the middle of a video game
17,17,17,17,gpt_4,conversation,"morning, cat, wake",Emotion,guilty,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word guilty in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: guilty
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I woke up my cat this morning
18,18,18,18,gpt_4,conversation,"morning, cat, wake",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Very High Valence, Moderate Arousal, and Low Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always wakes me up in the morning!
19,19,19,19,gpt_4,conversation,"morning, cat, wake",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Very High Valence, High Arousal, and High Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat in the morning is literally the highlight of my day!
20,20,20,20,gpt_4,conversation,"morning, cat, wake",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Very High Valence, High Arousal, and Very High Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat in the morning always makes me feel so energized and in control!
21,21,21,21,gpt_4,conversation,"morning, cat, wake",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: High Valence, Very High Arousal, and Moderate Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",In the morring my cat will wake me up!
22,22,22,22,flag,conversation,"morning, cat, wake",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Very High Valence, Very High Arousal, and High Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat in the morning is just the best feeling ever!
23,23,23,23,gpt_4,conversation,"morning, cat, wake",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: High Valence, High Arousal, and Low Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:","In the morring, my cat would wake me up really early!               "
24,24,24,24,gpt_4,conversation,"morning, cat, wake",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Very High Valence, High Arousal, and Very High Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat in the moring always makes me feel so empowered!
25,25,25,25,gpt_4,conversation,"morning, cat, wake",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Moderate Valence, High Arousal, and Moderate Dominance.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",In the morring my cat always tries to wake me up really early.
