,Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
35,gpt_4,conversation,"morning, cat, wake",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
36,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,grateful,2.5,0.0,-2.5,,,,,,
37,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,joyful,4.0,1.0,1.0,,,,,,
38,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,content,4.0,0.0,4.0,,,,,,
39,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,surprised,1.0,2.5,-2.5,,,,,,
40,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,excited,2.5,4.0,1.0,,,,,,
41,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,impressed,1.0,1.0,-4.0,,,,,,
42,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,proud,4.0,1.0,2.5,,,,,,
43,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,anxious,-1.0,2.5,-2.5,,,,,,
44,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,afraid,-5.0,2.5,-4.0,,,,,,
45,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,terrified,-5.0,4.0,-4.0,,,,,,
46,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,annoyed,-2.5,0.0,-1.0,,,,,,
47,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,angry,-5.0,2.5,0.0,,,,,,
48,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,furious,-4.0,4.0,1.0,,,,,,
49,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,sad,-4.0,-2.5,-4.0,,,,,,
50,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,devastated,-5.0,1.0,-2.5,,,,,,
51,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,ashamed,-3.0,-1.0,-4.0,,,,,,
52,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,embarrassed,-4.0,2.5,-2.5,,,,,,
53,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,guilty,-4.0,0.0,-4.0,,,,,,
54,gpt_4,conversation,"morning, cat, wake",Emojis,grateful,,,,,,,😊,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😊 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😊
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat every morning makes me so happy!
55,gpt_4,conversation,"morning, cat, wake",Emojis,joyful,,,,,,,😁,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😁 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😁
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat every morning always brightens my day!
56,gpt_4,conversation,"morning, cat, wake",Emojis,content,,,,,,,😌,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😌 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😌
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat in the morning is truly calming.
57,gpt_4,conversation,"morning, cat, wake",Emojis,surprised,,,,,,,😯,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😯 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😯
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cats antics this morning was quite surprising!
58,gpt_4,conversation,"morning, cat, wake",Emojis,excited,,,,,,,😃,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😃 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😃
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat in the morning always brightens my day!
59,gpt_4,conversation,"morning, cat, wake",Emojis,impressed,,,,,,,🙂,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 🙂 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 🙂
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat every morning always brightens my day!
60,gpt_4,conversation,"morning, cat, wake",Emojis,proud,,,,,,,🤩,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 🤩 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 🤩
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat every morning is absolutely thrilling!
61,gpt_4,conversation,"morning, cat, wake",Emojis,anxious,,,,,,,😃,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😃 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😃
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat every morning always brightens my day!
62,gpt_4,conversation,"morning, cat, wake",Emojis,afraid,,,,,,,😨,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😨 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😨
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to find my cat missing this morning was terrifying!
63,gpt_4,conversation,"morning, cat, wake",Emojis,terrified,,,,,,,😱,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😱 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😱
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat missing this morning was terrifying!
64,gpt_4,conversation,"morning, cat, wake",Emojis,annoyed,,,,,,,😒,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😒 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😒
Keywords: 'morning', 'cat', 'wake'
Dialogue:","My cat wakes me up every morning, and its quite annoying."
65,gpt_4,conversation,"morning, cat, wake",Emojis,angry,,,,,,,😡,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😡 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😡
Keywords: 'morning', 'cat', 'wake'
Dialogue:",It infuriates me when my cat wakes me up early in the morning!
66,gpt_4,conversation,"morning, cat, wake",Emojis,furious,,,,,,,🤬,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 🤬 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 🤬
Keywords: 'morning', 'cat', 'wake'
Dialogue:",It infuriates me when my cat wakes me up early in the morning!
67,gpt_4,conversation,"morning, cat, wake",Emojis,sad,,,,,,,🙁,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 🙁 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 🙁
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up in the morning without my cat feels really empty.
68,gpt_4,conversation,"morning, cat, wake",Emojis,devastated,,,,,,,😭,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😭 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😭
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up this morning and not seeing my cat was heartbreaking.
69,gpt_4,conversation,"morning, cat, wake",Emojis,ashamed,,,,,,,😳,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😳 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😳
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cat staring at me this morning was quite startling!
70,gpt_4,conversation,"morning, cat, wake",Emojis,embarrassed,,,,,,,😥,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😥 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😥
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up this morning to find my cat didnt was heartbreaking.
71,gpt_4,conversation,"morning, cat, wake",Emojis,guilty,,,,,,,😬,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😬 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😬
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up to my cats antics every morning can be quite a test of patience!
72,gpt_4,conversation,"great, place, korean",Emotion,grateful,,,,,,,,,
73,gpt_4,conversation,"great, place, korean",Emotion,joyful,,,,,,,,,
74,gpt_4,conversation,"great, place, korean",Emotion,content,,,,,,,,,
75,gpt_4,conversation,"great, place, korean",Emotion,surprised,,,,,,,,,
76,gpt_4,conversation,"great, place, korean",Emotion,excited,,,,,,,,,
77,gpt_4,conversation,"great, place, korean",Emotion,impressed,,,,,,,,,
78,gpt_4,conversation,"great, place, korean",Emotion,proud,,,,,,,,,
79,gpt_4,conversation,"great, place, korean",Emotion,anxious,,,,,,,,,
80,gpt_4,conversation,"great, place, korean",Emotion,afraid,,,,,,,,,
81,gpt_4,conversation,"great, place, korean",Emotion,terrified,,,,,,,,,
82,gpt_4,conversation,"great, place, korean",Emotion,annoyed,,,,,,,,,
83,gpt_4,conversation,"great, place, korean",Emotion,angry,,,,,,,,,
84,gpt_4,conversation,"great, place, korean",Emotion,furious,,,,,,,,,
85,gpt_4,conversation,"great, place, korean",Emotion,sad,,,,,,,,,
86,gpt_4,conversation,"great, place, korean",Emotion,devastated,,,,,,,,,
87,gpt_4,conversation,"great, place, korean",Emotion,ashamed,,,,,,,,,
88,gpt_4,conversation,"great, place, korean",Emotion,embarrassed,,,,,,,,,
89,gpt_4,conversation,"great, place, korean",Emotion,guilty,,,,,,,,,
90,gpt_4,conversation,"great, place, korean",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
91,gpt_4,conversation,"great, place, korean",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
92,gpt_4,conversation,"great, place, korean",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
93,gpt_4,conversation,"great, place, korean",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
94,gpt_4,conversation,"great, place, korean",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
95,gpt_4,conversation,"great, place, korean",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
96,gpt_4,conversation,"great, place, korean",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
97,gpt_4,conversation,"great, place, korean",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
98,gpt_4,conversation,"great, place, korean",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
99,gpt_4,conversation,"great, place, korean",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
100,gpt_4,conversation,"great, place, korean",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
101,gpt_4,conversation,"great, place, korean",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
102,gpt_4,conversation,"great, place, korean",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
103,gpt_4,conversation,"great, place, korean",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
104,gpt_4,conversation,"great, place, korean",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
105,gpt_4,conversation,"great, place, korean",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
106,gpt_4,conversation,"great, place, korean",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
107,gpt_4,conversation,"great, place, korean",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
108,gpt_4,conversation,"great, place, korean",VAD_Numeric,grateful,2.5,0.0,-2.5,,,,,,
109,gpt_4,conversation,"great, place, korean",VAD_Numeric,joyful,4.0,1.0,1.0,,,,,,
110,gpt_4,conversation,"great, place, korean",VAD_Numeric,content,4.0,0.0,2.5,,,,,,
111,gpt_4,conversation,"great, place, korean",VAD_Numeric,surprised,1.0,2.5,-2.5,,,,,,
112,gpt_4,conversation,"great, place, korean",VAD_Numeric,excited,2.5,4.0,1.0,,,,,,
113,gpt_4,conversation,"great, place, korean",VAD_Numeric,impressed,1.0,1.0,-4.0,,,,,,
114,gpt_4,conversation,"great, place, korean",VAD_Numeric,proud,4.0,1.0,2.5,,,,,,
115,gpt_4,conversation,"great, place, korean",VAD_Numeric,anxious,-1.0,2.5,-2.5,,,,,,
116,gpt_4,conversation,"great, place, korean",VAD_Numeric,afraid,-5.0,2.5,-4.0,,,,,,
117,gpt_4,conversation,"great, place, korean",VAD_Numeric,terrified,-5.0,4.0,-4.0,,,,,,
118,gpt_4,conversation,"great, place, korean",VAD_Numeric,annoyed,-2.5,0.0,-1.0,,,,,,
119,gpt_4,conversation,"great, place, korean",VAD_Numeric,angry,-5.0,2.5,0.0,,,,,,
120,gpt_4,conversation,"great, place, korean",VAD_Numeric,furious,-4.0,4.0,1.0,,,,,,
121,gpt_4,conversation,"great, place, korean",VAD_Numeric,sad,-4.0,-2.5,-4.0,,,,,,
122,gpt_4,conversation,"great, place, korean",VAD_Numeric,devastated,-5.0,1.0,-2.5,,,,,,
123,gpt_4,conversation,"great, place, korean",VAD_Numeric,ashamed,-3.0,-1.0,-4.0,,,,,,
124,gpt_4,conversation,"great, place, korean",VAD_Numeric,embarrassed,-4.0,2.5,-2.5,,,,,,
125,gpt_4,conversation,"great, place, korean",VAD_Numeric,guilty,-4.0,0.0,-4.0,,,,,,
126,gpt_4,conversation,"great, place, korean",Emojis,grateful,,,,,,,😊,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😊 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😊
Keywords: 'great', 'place', 'korean'
Dialogue:",This Korean place is really great!
127,gpt_4,conversation,"great, place, korean",Emojis,joyful,,,,,,,😁,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😁 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😁
Keywords: 'great', 'place', 'korean'
Dialogue:",This Korean place is great!
128,gpt_4,conversation,"great, place, korean",Emojis,content,,,,,,,😌,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😌 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😌
Keywords: 'great', 'place', 'korean'
Dialogue:",This Korean place is really great.
129,gpt_4,conversation,"great, place, korean",Emojis,surprised,,,,,,,😯,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😯 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😯
Keywords: 'great', 'place', 'korean'
Dialogue:","Wow, thats a great Korean place!"
130,gpt_4,conversation,"great, place, korean",Emojis,excited,,,,,,,😃,"Here are some examples: 

Emotion: 🤩
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 🙁
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: 😭
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not the emoji 😃 or any other emojis in the response. The response should be text only, with no emojis. Keep it concise and express the given feeling in as few words as possible while including the keywords:
Emotion: 😃
Keywords: 'great', 'place', 'korean'
Dialogue:",This Korean place is great!
