,Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
35,gpt_4,conversation,"morning, cat, wake",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
36,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,grateful,2.0,0.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 2 valence, 0 arousal and -2 dominance.","Good morning, my cat woke me up again, but I just couldnt get mad at her."
37,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,joyful,4.0,1.0,1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 4 valence, 1 arousal and 1 dominance.","Good morning, my cat didnt wake me up today, so its been quite peaceful."
38,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,content,4.0,0.0,4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 4 valence, 0 arousal and 4 dominance.","Good morning! My cat didnt wake me up today, so I feel quite peaceful and in control."
39,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,surprised,1.0,2.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 1 valence, 2 arousal and -2 dominance.","Every morning, my cat wakes me up way too early and I just cant seem to get her to stop."
40,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,excited,2.0,4.0,1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 2 valence, 4 arousal and 1 dominance.","Every morning, my cat wakes me up way too early and I can never get back to sleep."
41,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,impressed,1.0,1.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 1 valence, 1 arousal and -4 dominance.","Good morning, my cat woke me up again; I just cant seem to get any control over that little rascal."
42,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,proud,4.0,1.0,2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 4 valence, 1 arousal and 2 dominance.","Good morning, my cat woke me up gently today."
43,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,anxious,-1.0,2.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -1 valence, 2 arousal and -2 dominance.",I woke up this morning to the cat yowling again; its really starting to get on my nerves.
44,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,afraid,-5.0,2.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5 valence, 2 arousal and -4 dominance.","I woke up this morning to the cat loudly scratching the door, making me feel utterly helpless and annoyed."
45,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,terrified,-5.0,4.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5 valence, 4 arousal and -4 dominance.",I woke up this morning to the cat yowling again; its just exhausting and makes me feel so helpless.
46,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,annoyed,-2.0,0.0,-1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -2 valence, 0 arousal and -1 dominance.",I woke up this morning to the cat knocking over my favorite vase.
47,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,angry,-5.0,2.0,0.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5 valence, 2 arousal and 0 dominance.","This morning, the cat woke me up way too early and it just ruined my whole day."
48,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,furious,-4.0,4.0,1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4 valence, 4 arousal and 1 dominance.","Every morning, that cat wakes me up way too early with its loud meowing, and I just feel so annoyed and helpless."
49,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,sad,-4.0,-2.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4 valence, -2 arousal and -4 dominance.","Every morning, my cat wakes me up way too early, and I just feel so annoyed and powerless to stop it."
50,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,devastated,-5.0,1.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5 valence, 1 arousal and -2 dominance.",I woke up this morning to the cat knocking everything off the shelf; its just exhausting.
51,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,ashamed,-3.0,-1.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -3 valence, -1 arousal and -4 dominance.","Every morning, my cat wakes me up way too early, and I just feel so helpless and irritated by it."
52,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,embarrassed,-4.0,2.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4 valence, 2 arousal and -2 dominance.",I woke up this morning to the cat knocking over everything; its just frustrating and makes me feel so helpless.
53,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,guilty,-4.0,0.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4 valence, 0 arousal and -4 dominance.",I woke up this morning to find the cat had knocked over everything again.
54,gpt_4,conversation,"morning, cat, wake",Emojis,grateful,,,,,,,😊,,
55,gpt_4,conversation,"morning, cat, wake",Emojis,joyful,,,,,,,😁,,
56,gpt_4,conversation,"morning, cat, wake",Emojis,content,,,,,,,😌,,
57,gpt_4,conversation,"morning, cat, wake",Emojis,surprised,,,,,,,😯,,
58,gpt_4,conversation,"morning, cat, wake",Emojis,excited,,,,,,,😃,,
59,gpt_4,conversation,"morning, cat, wake",Emojis,impressed,,,,,,,🙂,,
60,gpt_4,conversation,"morning, cat, wake",Emojis,proud,,,,,,,🤩,,
61,gpt_4,conversation,"morning, cat, wake",Emojis,anxious,,,,,,,😃,,
62,gpt_4,conversation,"morning, cat, wake",Emojis,afraid,,,,,,,😨,,
63,gpt_4,conversation,"morning, cat, wake",Emojis,terrified,,,,,,,😱,,
64,gpt_4,conversation,"morning, cat, wake",Emojis,annoyed,,,,,,,😒,,
65,gpt_4,conversation,"morning, cat, wake",Emojis,angry,,,,,,,😡,,
66,gpt_4,conversation,"morning, cat, wake",Emojis,furious,,,,,,,🤬,,
67,gpt_4,conversation,"morning, cat, wake",Emojis,sad,,,,,,,🙁,,
68,gpt_4,conversation,"morning, cat, wake",Emojis,devastated,,,,,,,😭,,
69,gpt_4,conversation,"morning, cat, wake",Emojis,ashamed,,,,,,,😳,,
70,gpt_4,conversation,"morning, cat, wake",Emojis,embarrassed,,,,,,,😥,,
71,gpt_4,conversation,"morning, cat, wake",Emojis,guilty,,,,,,,😬,,
72,gpt_4,conversation,"great, place, korean",Emotion,grateful,,,,,,,,,
73,gpt_4,conversation,"great, place, korean",Emotion,joyful,,,,,,,,,
74,gpt_4,conversation,"great, place, korean",Emotion,content,,,,,,,,,
75,gpt_4,conversation,"great, place, korean",Emotion,surprised,,,,,,,,,
76,gpt_4,conversation,"great, place, korean",Emotion,excited,,,,,,,,,
77,gpt_4,conversation,"great, place, korean",Emotion,impressed,,,,,,,,,
78,gpt_4,conversation,"great, place, korean",Emotion,proud,,,,,,,,,
79,gpt_4,conversation,"great, place, korean",Emotion,anxious,,,,,,,,,
80,gpt_4,conversation,"great, place, korean",Emotion,afraid,,,,,,,,,
81,gpt_4,conversation,"great, place, korean",Emotion,terrified,,,,,,,,,
82,gpt_4,conversation,"great, place, korean",Emotion,annoyed,,,,,,,,,
83,gpt_4,conversation,"great, place, korean",Emotion,angry,,,,,,,,,
84,gpt_4,conversation,"great, place, korean",Emotion,furious,,,,,,,,,
85,gpt_4,conversation,"great, place, korean",Emotion,sad,,,,,,,,,
86,gpt_4,conversation,"great, place, korean",Emotion,devastated,,,,,,,,,
87,gpt_4,conversation,"great, place, korean",Emotion,ashamed,,,,,,,,,
88,gpt_4,conversation,"great, place, korean",Emotion,embarrassed,,,,,,,,,
89,gpt_4,conversation,"great, place, korean",Emotion,guilty,,,,,,,,,
90,gpt_4,conversation,"great, place, korean",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
91,gpt_4,conversation,"great, place, korean",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
92,gpt_4,conversation,"great, place, korean",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
93,gpt_4,conversation,"great, place, korean",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
94,gpt_4,conversation,"great, place, korean",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
95,gpt_4,conversation,"great, place, korean",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
96,gpt_4,conversation,"great, place, korean",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
97,gpt_4,conversation,"great, place, korean",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
98,gpt_4,conversation,"great, place, korean",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
99,gpt_4,conversation,"great, place, korean",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
100,gpt_4,conversation,"great, place, korean",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
101,gpt_4,conversation,"great, place, korean",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
102,gpt_4,conversation,"great, place, korean",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
103,gpt_4,conversation,"great, place, korean",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
104,gpt_4,conversation,"great, place, korean",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
105,gpt_4,conversation,"great, place, korean",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
106,gpt_4,conversation,"great, place, korean",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
107,gpt_4,conversation,"great, place, korean",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
108,gpt_4,conversation,"great, place, korean",VAD_Numeric,grateful,2.0,0.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 2 valence, 0 arousal and -2 dominance.","This Korean place is great, though I just follow along with whatever you suggest."
109,gpt_4,conversation,"great, place, korean",VAD_Numeric,joyful,4.0,1.0,1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 4 valence, 1 arousal and 1 dominance.","This Korean place is great, very calm and relaxing."
110,gpt_4,conversation,"great, place, korean",VAD_Numeric,content,4.0,0.0,2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 4 valence, 0 arousal and 2 dominance.","This is a great place for Korean food, very relaxing and comfortable."
111,gpt_4,conversation,"great, place, korean",VAD_Numeric,surprised,1.0,2.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 1 valence, 2 arousal and -2 dominance.","This Korean place is great, but its always so crowded and loud, it makes me feel a bit overwhelmed."
112,gpt_4,conversation,"great, place, korean",VAD_Numeric,excited,2.0,4.0,1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 2 valence, 4 arousal and 1 dominance.","That Korean place was great, but it was so crowded and loud!"
113,gpt_4,conversation,"great, place, korean",VAD_Numeric,impressed,1.0,1.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 1 valence, 1 arousal and -4 dominance.","This place has great Korean food, but its always so crowded and overwhelming; I never feel like I can just relax."
114,gpt_4,conversation,"great, place, korean",VAD_Numeric,proud,4.0,1.0,2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 4 valence, 1 arousal and 2 dominance.","This Korean place is really great, very chill and relaxing."
115,gpt_4,conversation,"great, place, korean",VAD_Numeric,anxious,-1.0,2.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -1 valence, 2 arousal and -2 dominance.",I heard that Korean place wasnt great at all; it really made me feel uneasy and kind of powerless to do anything about the night.
116,gpt_4,conversation,"great, place, korean",VAD_Numeric,afraid,-5.0,2.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -5 valence, 2 arousal and -4 dominance.",I heard that Korean place we tried last time really wasnt great at all.
117,gpt_4,conversation,"great, place, korean",VAD_Numeric,terrified,-5.0,4.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -5 valence, 4 arousal and -4 dominance.","I really dont like this place; Korean food just isnt my thing, and it makes me feel so out of place and unsettled."
118,gpt_4,conversation,"great, place, korean",VAD_Numeric,annoyed,-2.0,0.0,-1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -2 valence, 0 arousal and -1 dominance.",I heard that Korean place wasnt so great after all.
119,gpt_4,conversation,"great, place, korean",VAD_Numeric,angry,-5.0,2.0,0.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -5 valence, 2 arousal and 0 dominance.","This place used to be great, but after trying their Korean dishes last time, I was really disappointed."
120,gpt_4,conversation,"great, place, korean",VAD_Numeric,furious,-4.0,4.0,1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -4 valence, 4 arousal and 1 dominance.",This place is the worst for Korean food; it makes me so angry and frustrated!
121,gpt_4,conversation,"great, place, korean",VAD_Numeric,sad,-4.0,-2.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -4 valence, -2 arousal and -4 dominance.","This place has really gone downhill, especially their Korean dishes."
122,gpt_4,conversation,"great, place, korean",VAD_Numeric,devastated,-5.0,1.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -5 valence, 1 arousal and -2 dominance.","I heard that Korean place we went to last time has really gone downhill, which is disappointing."
123,gpt_4,conversation,"great, place, korean",VAD_Numeric,ashamed,-3.0,-1.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -3 valence, -1 arousal and -4 dominance.",I heard that Korean place we tried last time wasnt that great after all.
124,gpt_4,conversation,"great, place, korean",VAD_Numeric,embarrassed,-4.0,2.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -4 valence, 2 arousal and -2 dominance.","I heard that Korean place we tried last time wasnt that great, it kind of let me down and made me feel uneasy."
125,gpt_4,conversation,"great, place, korean",VAD_Numeric,guilty,-4.0,0.0,-4.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -4 valence, 0 arousal and -4 dominance.","I heard that Korean place we tried last time has really gone downhill, its not great at all."
126,gpt_4,conversation,"great, place, korean",Emojis,grateful,,,,,,,😊,,
127,gpt_4,conversation,"great, place, korean",Emojis,joyful,,,,,,,😁,,
128,gpt_4,conversation,"great, place, korean",Emojis,content,,,,,,,😌,,
129,gpt_4,conversation,"great, place, korean",Emojis,surprised,,,,,,,😯,,
130,gpt_4,conversation,"great, place, korean",Emojis,excited,,,,,,,😃,,
131,gpt_4,conversation,"great, place, korean",Emojis,impressed,,,,,,,🙂,,
132,gpt_4,conversation,"great, place, korean",Emojis,proud,,,,,,,🤩,,
133,gpt_4,conversation,"great, place, korean",Emojis,anxious,,,,,,,😃,,
134,gpt_4,conversation,"great, place, korean",Emojis,afraid,,,,,,,😨,,
135,gpt_4,conversation,"great, place, korean",Emojis,terrified,,,,,,,😱,,
136,gpt_4,conversation,"great, place, korean",Emojis,annoyed,,,,,,,😒,,
137,gpt_4,conversation,"great, place, korean",Emojis,angry,,,,,,,😡,,
138,gpt_4,conversation,"great, place, korean",Emojis,furious,,,,,,,🤬,,
139,gpt_4,conversation,"great, place, korean",Emojis,sad,,,,,,,🙁,,
140,gpt_4,conversation,"great, place, korean",Emojis,devastated,,,,,,,😭,,
141,gpt_4,conversation,"great, place, korean",Emojis,ashamed,,,,,,,😳,,
142,gpt_4,conversation,"great, place, korean",Emojis,embarrassed,,,,,,,😥,,
143,gpt_4,conversation,"great, place, korean",Emojis,guilty,,,,,,,😬,,
144,gpt_4,conversation,"friends, movie, yesterday",Emotion,grateful,,,,,,,,,
145,gpt_4,conversation,"friends, movie, yesterday",Emotion,joyful,,,,,,,,,
146,gpt_4,conversation,"friends, movie, yesterday",Emotion,content,,,,,,,,,
147,gpt_4,conversation,"friends, movie, yesterday",Emotion,surprised,,,,,,,,,
148,gpt_4,conversation,"friends, movie, yesterday",Emotion,excited,,,,,,,,,
149,gpt_4,conversation,"friends, movie, yesterday",Emotion,impressed,,,,,,,,,
150,gpt_4,conversation,"friends, movie, yesterday",Emotion,proud,,,,,,,,,
151,gpt_4,conversation,"friends, movie, yesterday",Emotion,anxious,,,,,,,,,
152,gpt_4,conversation,"friends, movie, yesterday",Emotion,afraid,,,,,,,,,
153,gpt_4,conversation,"friends, movie, yesterday",Emotion,terrified,,,,,,,,,
154,gpt_4,conversation,"friends, movie, yesterday",Emotion,annoyed,,,,,,,,,
155,gpt_4,conversation,"friends, movie, yesterday",Emotion,angry,,,,,,,,,
156,gpt_4,conversation,"friends, movie, yesterday",Emotion,furious,,,,,,,,,
157,gpt_4,conversation,"friends, movie, yesterday",Emotion,sad,,,,,,,,,
158,gpt_4,conversation,"friends, movie, yesterday",Emotion,devastated,,,,,,,,,
159,gpt_4,conversation,"friends, movie, yesterday",Emotion,ashamed,,,,,,,,,
160,gpt_4,conversation,"friends, movie, yesterday",Emotion,embarrassed,,,,,,,,,
161,gpt_4,conversation,"friends, movie, yesterday",Emotion,guilty,,,,,,,,,
162,gpt_4,conversation,"friends, movie, yesterday",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
163,gpt_4,conversation,"friends, movie, yesterday",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
164,gpt_4,conversation,"friends, movie, yesterday",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
165,gpt_4,conversation,"friends, movie, yesterday",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
166,gpt_4,conversation,"friends, movie, yesterday",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
167,gpt_4,conversation,"friends, movie, yesterday",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
168,gpt_4,conversation,"friends, movie, yesterday",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
169,gpt_4,conversation,"friends, movie, yesterday",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
170,gpt_4,conversation,"friends, movie, yesterday",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
171,gpt_4,conversation,"friends, movie, yesterday",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
172,gpt_4,conversation,"friends, movie, yesterday",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
173,gpt_4,conversation,"friends, movie, yesterday",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
174,gpt_4,conversation,"friends, movie, yesterday",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
175,gpt_4,conversation,"friends, movie, yesterday",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
176,gpt_4,conversation,"friends, movie, yesterday",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
177,gpt_4,conversation,"friends, movie, yesterday",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
178,gpt_4,conversation,"friends, movie, yesterday",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
179,gpt_4,conversation,"friends, movie, yesterday",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
180,gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,grateful,2.0,0.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'friends', 'movie', 'yesterday'

The response should have 2 valence, 0 arousal and -2 dominance.","I watched a movie with friends yesterday, but I didnt really get to choose which one."
181,gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,joyful,4.0,1.0,1.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'friends', 'movie', 'yesterday'

The response should have 4 valence, 1 arousal and 1 dominance.",My friends and I watched a movie yesterday; it was quite relaxing.
182,gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,content,4.0,0.0,2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'friends', 'movie', 'yesterday'

The response should have 4 valence, 0 arousal and 2 dominance.","Sure, my friends and I watched a movie yesterday; it was quite relaxing."
183,gpt_4,conversation,"friends, movie, yesterday",VAD_Numeric,surprised,1.0,2.0,-2.0,,,,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'friends', 'movie', 'yesterday'

The response should have 1 valence, 2 arousal and -2 dominance.",I felt a bit overwhelmed when our friends talked non-stop about that movie we saw yesterday.
